path,currency,label
data\THB\THAI100\THAI100_109.jpg,THB,THAI100
data\THB\THAI50\THAI50_113.jpg,THB,THAI50
data\THB\THAI50\THAI50_75.jpg,THB,THAI50
data\THB\THAI100\THAI100_42.jpg,THB,THAI100
data\THB\THAI100\THAI100_22.jpg,THB,THAI100
data\THB\THAI500\THAI500_43.jpg,THB,THAI500
data\THB\THAI20\THAI20_93.jpg,THB,THAI20
data\THB\THAI20\THAI20_60.jpg,THB,THAI20
data\THB\THAI20\THAI20_81.jpg,THB,THAI20
data\THB\THAI50\THAI50_93.jpg,THB,THAI50
data\THB\THAI500\THAI500_124.jpg,THB,THAI500
data\THB\THAI50\THAI50_48.jpg,THB,THAI50
data\THB\THAI50\THAI50_25.jpg,THB,THAI50
data\THB\THAI100\THAI100_147.jpg,THB,THAI100
data\THB\THAI20\THAI20_132.jpg,THB,THAI20
data\THB\THAI500\THAI500_32.jpg,THB,THAI500
data\THB\THAI500\THAI500_102.jpg,THB,THAI500
data\THB\THAI100\THAI100_122.jpg,THB,THAI100
data\THB\THAI20\THAI20_61.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_49.jpg,THB,THAI1000
data\THB\THAI50\THAI50_98.jpg,THB,THAI50
data\THB\THAI50\THAI50_83.jpg,THB,THAI50
data\THB\THAI100\THAI100_80.jpg,THB,THAI100
data\THB\THAI500\THAI500_68.jpg,THB,THAI500
data\THB\THAI50\THAI50_151.jpg,THB,THAI50
data\THB\THAI100\THAI100_115.jpg,THB,THAI100
data\THB\THAI500\THAI500_31.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_108.jpg,THB,THAI1000
data\THB\THAI100\THAI100_160.jpg,THB,THAI100
data\THB\THAI50\THAI50_148.jpg,THB,THAI50
data\THB\THAI50\THAI50_114.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_25.jpg,THB,THAI1000
data\THB\THAI100\THAI100_69.jpg,THB,THAI100
data\THB\THAI50\THAI50_132.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_34.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_18.jpg,THB,THAI1000
data\THB\THAI100\THAI100_107.jpg,THB,THAI100
data\THB\THAI50\THAI50_15.jpg,THB,THAI50
data\THB\THAI100\THAI100_41.jpg,THB,THAI100
data\THB\THAI20\THAI20_108.jpg,THB,THAI20
data\THB\THAI100\THAI100_45.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_127.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_2.jpg,THB,THAI1000
data\THB\THAI20\THAI20_133.jpg,THB,THAI20
data\THB\THAI100\THAI100_93.jpg,THB,THAI100
data\THB\THAI100\THAI100_30.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_67.jpg,THB,THAI1000
data\THB\THAI50\THAI50_154.jpg,THB,THAI50
data\THB\THAI20\THAI20_88.jpg,THB,THAI20
data\THB\THAI20\THAI20_16.jpg,THB,THAI20
data\THB\THAI50\THAI50_139.jpg,THB,THAI50
data\THB\THAI20\THAI20_134.jpg,THB,THAI20
data\THB\THAI20\THAI20_30.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_13.jpg,THB,THAI1000
data\THB\THAI100\THAI100_52.jpg,THB,THAI100
data\THB\THAI20\THAI20_29.jpg,THB,THAI20
data\THB\THAI50\THAI50_31.jpg,THB,THAI50
data\THB\THAI50\THAI50_59.jpg,THB,THAI50
data\THB\THAI50\THAI50_42.jpg,THB,THAI50
data\THB\THAI500\THAI500_25.jpg,THB,THAI500
data\THB\THAI500\THAI500_22.jpg,THB,THAI500
data\THB\THAI500\THAI500_38.jpg,THB,THAI500
data\THB\THAI20\THAI20_115.jpg,THB,THAI20
data\THB\THAI100\THAI100_153.jpg,THB,THAI100
data\THB\THAI50\THAI50_33.jpg,THB,THAI50
data\THB\THAI100\THAI100_139.jpg,THB,THAI100
data\THB\THAI500\THAI500_134.jpg,THB,THAI500
data\THB\THAI100\THAI100_26.jpg,THB,THAI100
data\THB\THAI500\THAI500_5.jpg,THB,THAI500
data\THB\THAI50\THAI50_18.jpg,THB,THAI50
data\THB\THAI500\THAI500_28.jpg,THB,THAI500
data\THB\THAI50\THAI50_43.jpg,THB,THAI50
data\THB\THAI100\THAI100_96.jpg,THB,THAI100
data\THB\THAI50\THAI50_136.jpg,THB,THAI50
data\THB\THAI100\THAI100_14.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_19.jpg,THB,THAI1000
data\THB\THAI500\THAI500_115.jpg,THB,THAI500
data\THB\THAI100\THAI100_126.jpg,THB,THAI100
data\THB\THAI500\THAI500_148.jpg,THB,THAI500
data\THB\THAI500\THAI500_119.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_97.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_74.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_29.jpg,THB,THAI1000
data\THB\THAI50\THAI50_123.jpg,THB,THAI50
data\THB\THAI100\THAI100_155.jpg,THB,THAI100
data\THB\THAI500\THAI500_72.jpg,THB,THAI500
data\THB\THAI50\THAI50_152.jpg,THB,THAI50
data\THB\THAI20\THAI20_21.jpg,THB,THAI20
data\THB\THAI20\THAI20_118.jpg,THB,THAI20
data\THB\THAI50\THAI50_140.jpg,THB,THAI50
data\THB\THAI50\THAI50_145.jpg,THB,THAI50
data\THB\THAI100\THAI100_31.jpg,THB,THAI100
data\THB\THAI100\THAI100_55.jpg,THB,THAI100
data\THB\THAI500\THAI500_114.jpg,THB,THAI500
data\THB\THAI20\THAI20_52.jpg,THB,THAI20
data\THB\THAI100\THAI100_74.jpg,THB,THAI100
data\THB\THAI50\THAI50_158.jpg,THB,THAI50
data\THB\THAI500\THAI500_120.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_52.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_57.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_141.jpg,THB,THAI1000
data\THB\THAI100\THAI100_76.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_46.jpg,THB,THAI1000
data\THB\THAI500\THAI500_151.jpg,THB,THAI500
data\THB\THAI20\THAI20_85.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_134.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_139.jpg,THB,THAI1000
data\THB\THAI100\THAI100_67.jpg,THB,THAI100
data\THB\THAI20\THAI20_39.jpg,THB,THAI20
data\THB\THAI20\THAI20_78.jpg,THB,THAI20
data\THB\THAI500\THAI500_146.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_68.jpg,THB,THAI1000
data\THB\THAI500\THAI500_48.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_15.jpg,THB,THAI1000
data\THB\THAI500\THAI500_85.jpg,THB,THAI500
data\THB\THAI50\THAI50_85.jpg,THB,THAI50
data\THB\THAI20\THAI20_18.jpg,THB,THAI20
data\THB\THAI50\THAI50_41.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_96.jpg,THB,THAI1000
data\THB\THAI100\THAI100_88.jpg,THB,THAI100
data\THB\THAI100\THAI100_43.jpg,THB,THAI100
data\THB\THAI500\THAI500_133.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_118.jpg,THB,THAI1000
data\THB\THAI100\THAI100_49.jpg,THB,THAI100
data\THB\THAI20\THAI20_20.jpg,THB,THAI20
data\THB\THAI20\THAI20_160.jpg,THB,THAI20
data\THB\THAI20\THAI20_34.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_48.jpg,THB,THAI1000
data\THB\THAI100\THAI100_25.jpg,THB,THAI100
data\THB\THAI50\THAI50_84.jpg,THB,THAI50
data\THB\THAI20\THAI20_136.jpg,THB,THAI20
data\THB\THAI50\THAI50_127.jpg,THB,THAI50
data\THB\THAI20\THAI20_95.jpg,THB,THAI20
data\THB\THAI20\THAI20_92.jpg,THB,THAI20
data\THB\THAI100\THAI100_62.jpg,THB,THAI100
data\THB\THAI50\THAI50_106.jpg,THB,THAI50
data\THB\THAI50\THAI50_8.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_112.jpg,THB,THAI1000
data\THB\THAI20\THAI20_145.jpg,THB,THAI20
data\THB\THAI500\THAI500_80.jpg,THB,THAI500
data\THB\THAI50\THAI50_55.jpg,THB,THAI50
data\THB\THAI20\THAI20_107.jpg,THB,THAI20
data\THB\THAI100\THAI100_130.jpg,THB,THAI100
data\THB\THAI500\THAI500_14.jpg,THB,THAI500
data\THB\THAI100\THAI100_60.jpg,THB,THAI100
data\THB\THAI100\THAI100_84.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_94.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_6.jpg,THB,THAI1000
data\THB\THAI20\THAI20_37.jpg,THB,THAI20
data\THB\THAI50\THAI50_117.jpg,THB,THAI50
data\THB\THAI50\THAI50_37.jpg,THB,THAI50
data\THB\THAI20\THAI20_63.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_22.jpg,THB,THAI1000
data\THB\THAI50\THAI50_17.jpg,THB,THAI50
data\THB\THAI100\THAI100_141.jpg,THB,THAI100
data\THB\THAI20\THAI20_110.jpg,THB,THAI20
data\THB\THAI50\THAI50_116.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_87.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_146.jpg,THB,THAI1000
data\THB\THAI50\THAI50_28.jpg,THB,THAI50
data\THB\THAI20\THAI20_58.jpg,THB,THAI20
data\THB\THAI50\THAI50_94.jpg,THB,THAI50
data\THB\THAI100\THAI100_13.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_4.jpg,THB,THAI1000
data\THB\THAI500\THAI500_141.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_140.jpg,THB,THAI1000
data\THB\THAI100\THAI100_70.jpg,THB,THAI100
data\THB\THAI100\THAI100_20.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_28.jpg,THB,THAI1000
data\THB\THAI50\THAI50_100.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_110.jpg,THB,THAI1000
data\THB\THAI500\THAI500_63.jpg,THB,THAI500
data\THB\THAI500\THAI500_98.jpg,THB,THAI500
data\THB\THAI50\THAI50_36.jpg,THB,THAI50
data\THB\THAI20\THAI20_50.jpg,THB,THAI20
data\THB\THAI500\THAI500_33.jpg,THB,THAI500
data\THB\THAI20\THAI20_148.jpg,THB,THAI20
data\THB\THAI50\THAI50_103.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_106.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_24.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_153.jpg,THB,THAI1000
data\THB\THAI20\THAI20_138.jpg,THB,THAI20
data\THB\THAI500\THAI500_76.jpg,THB,THAI500
data\THB\THAI500\THAI500_70.jpg,THB,THAI500
data\THB\THAI50\THAI50_91.jpg,THB,THAI50
data\THB\THAI100\THAI100_158.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_85.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_77.jpg,THB,THAI1000
data\THB\THAI20\THAI20_42.jpg,THB,THAI20
data\THB\THAI50\THAI50_74.jpg,THB,THAI50
data\THB\THAI50\THAI50_30.jpg,THB,THAI50
data\THB\THAI20\THAI20_89.jpg,THB,THAI20
data\THB\THAI100\THAI100_104.jpg,THB,THAI100
data\THB\THAI50\THAI50_119.jpg,THB,THAI50
data\THB\THAI20\THAI20_152.jpg,THB,THAI20
data\THB\THAI50\THAI50_19.jpg,THB,THAI50
data\THB\THAI100\THAI100_23.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_69.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_136.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_5.jpg,THB,THAI1000
data\THB\THAI100\THAI100_105.jpg,THB,THAI100
data\THB\THAI50\THAI50_110.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_23.jpg,THB,THAI1000
data\THB\THAI500\THAI500_67.jpg,THB,THAI500
data\THB\THAI500\THAI500_121.jpg,THB,THAI500
data\THB\THAI500\THAI500_101.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_120.jpg,THB,THAI1000
data\THB\THAI20\THAI20_36.jpg,THB,THAI20
data\THB\THAI500\THAI500_55.jpg,THB,THAI500
data\THB\THAI100\THAI100_73.jpg,THB,THAI100
data\THB\THAI500\THAI500_107.jpg,THB,THAI500
data\THB\THAI100\THAI100_129.jpg,THB,THAI100
data\THB\THAI100\THAI100_27.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_61.jpg,THB,THAI1000
data\THB\THAI500\THAI500_157.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_50.jpg,THB,THAI1000
data\THB\THAI20\THAI20_94.jpg,THB,THAI20
data\THB\THAI20\THAI20_155.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_42.jpg,THB,THAI1000
data\THB\THAI500\THAI500_30.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_54.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_16.jpg,THB,THAI1000
data\THB\THAI50\THAI50_65.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_116.jpg,THB,THAI1000
data\THB\THAI20\THAI20_22.jpg,THB,THAI20
data\THB\THAI500\THAI500_21.jpg,THB,THAI500
data\THB\THAI50\THAI50_89.jpg,THB,THAI50
data\THB\THAI100\THAI100_116.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_124.jpg,THB,THAI1000
data\THB\THAI500\THAI500_7.jpg,THB,THAI500
data\THB\THAI50\THAI50_131.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_55.jpg,THB,THAI1000
data\THB\THAI500\THAI500_104.jpg,THB,THAI500
data\THB\THAI50\THAI50_73.jpg,THB,THAI50
data\THB\THAI500\THAI500_66.jpg,THB,THAI500
data\THB\THAI50\THAI50_6.jpg,THB,THAI50
data\THB\THAI20\THAI20_143.jpg,THB,THAI20
data\THB\THAI50\THAI50_77.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_121.jpg,THB,THAI1000
data\THB\THAI20\THAI20_3.jpg,THB,THAI20
data\THB\THAI50\THAI50_135.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_119.jpg,THB,THAI1000
data\THB\THAI500\THAI500_139.jpg,THB,THAI500
data\THB\THAI500\THAI500_29.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_142.jpg,THB,THAI1000
data\THB\THAI500\THAI500_97.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_103.jpg,THB,THAI1000
data\THB\THAI50\THAI50_53.jpg,THB,THAI50
data\THB\THAI50\THAI50_51.jpg,THB,THAI50
data\THB\THAI500\THAI500_83.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_159.jpg,THB,THAI1000
data\THB\THAI20\THAI20_97.jpg,THB,THAI20
data\THB\THAI20\THAI20_46.jpg,THB,THAI20
data\THB\THAI100\THAI100_98.jpg,THB,THAI100
data\THB\THAI50\THAI50_134.jpg,THB,THAI50
data\THB\THAI20\THAI20_144.jpg,THB,THAI20
data\THB\THAI500\THAI500_27.jpg,THB,THAI500
data\THB\THAI50\THAI50_130.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_105.jpg,THB,THAI1000
data\THB\THAI500\THAI500_16.jpg,THB,THAI500
data\THB\THAI500\THAI500_78.jpg,THB,THAI500
data\THB\THAI500\THAI500_103.jpg,THB,THAI500
data\THB\THAI50\THAI50_5.jpg,THB,THAI50
data\THB\THAI500\THAI500_88.jpg,THB,THAI500
data\THB\THAI50\THAI50_46.jpg,THB,THAI50
data\THB\THAI50\THAI50_107.jpg,THB,THAI50
data\THB\THAI500\THAI500_77.jpg,THB,THAI500
data\THB\THAI20\THAI20_157.jpg,THB,THAI20
data\THB\THAI50\THAI50_24.jpg,THB,THAI50
data\THB\THAI20\THAI20_65.jpg,THB,THAI20
data\THB\THAI50\THAI50_133.jpg,THB,THAI50
data\THB\THAI500\THAI500_39.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_38.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_81.jpg,THB,THAI1000
data\THB\THAI100\THAI100_128.jpg,THB,THAI100
data\THB\THAI100\THAI100_11.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_14.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_152.jpg,THB,THAI1000
data\THB\THAI20\THAI20_51.jpg,THB,THAI20
data\THB\THAI100\THAI100_159.jpg,THB,THAI100
data\THB\THAI100\THAI100_143.jpg,THB,THAI100
data\THB\THAI20\THAI20_33.jpg,THB,THAI20
data\THB\THAI50\THAI50_34.jpg,THB,THAI50
data\THB\THAI50\THAI50_141.jpg,THB,THAI50
data\THB\THAI20\THAI20_128.jpg,THB,THAI20
data\THB\THAI500\THAI500_53.jpg,THB,THAI500
data\THB\THAI20\THAI20_26.jpg,THB,THAI20
data\THB\THAI100\THAI100_92.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_84.jpg,THB,THAI1000
data\THB\THAI50\THAI50_22.jpg,THB,THAI50
data\THB\THAI500\THAI500_144.jpg,THB,THAI500
data\THB\THAI50\THAI50_29.jpg,THB,THAI50
data\THB\THAI500\THAI500_125.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_156.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_132.jpg,THB,THAI1000
data\THB\THAI20\THAI20_146.jpg,THB,THAI20
data\THB\THAI20\THAI20_84.jpg,THB,THAI20
data\THB\THAI20\THAI20_105.jpg,THB,THAI20
data\THB\THAI20\THAI20_82.jpg,THB,THAI20
data\THB\THAI50\THAI50_11.jpg,THB,THAI50
data\THB\THAI20\THAI20_49.jpg,THB,THAI20
data\THB\THAI20\THAI20_77.jpg,THB,THAI20
data\THB\THAI50\THAI50_111.jpg,THB,THAI50
data\THB\THAI50\THAI50_67.jpg,THB,THAI50
data\THB\THAI100\THAI100_136.jpg,THB,THAI100
data\THB\THAI50\THAI50_102.jpg,THB,THAI50
data\THB\THAI20\THAI20_17.jpg,THB,THAI20
data\THB\THAI500\THAI500_15.jpg,THB,THAI500
data\THB\THAI100\THAI100_100.jpg,THB,THAI100
data\THB\THAI100\THAI100_124.jpg,THB,THAI100
data\THB\THAI50\THAI50_62.jpg,THB,THAI50
data\THB\THAI20\THAI20_137.jpg,THB,THAI20
data\THB\THAI500\THAI500_69.jpg,THB,THAI500
data\THB\THAI50\THAI50_142.jpg,THB,THAI50
data\THB\THAI100\THAI100_53.jpg,THB,THAI100
data\THB\THAI20\THAI20_70.jpg,THB,THAI20
data\THB\THAI50\THAI50_63.jpg,THB,THAI50
data\THB\THAI50\THAI50_50.jpg,THB,THAI50
data\THB\THAI50\THAI50_72.jpg,THB,THAI50
data\THB\THAI20\THAI20_53.jpg,THB,THAI20
data\THB\THAI500\THAI500_19.jpg,THB,THAI500
data\THB\THAI20\THAI20_121.jpg,THB,THAI20
data\THB\THAI500\THAI500_24.jpg,THB,THAI500
data\THB\THAI20\THAI20_139.jpg,THB,THAI20
data\THB\THAI20\THAI20_15.jpg,THB,THAI20
data\THB\THAI100\THAI100_39.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_43.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_135.jpg,THB,THAI1000
data\THB\THAI500\THAI500_51.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_131.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_157.jpg,THB,THAI1000
data\THB\THAI20\THAI20_1.jpg,THB,THAI20
data\THB\THAI100\THAI100_83.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_66.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_44.jpg,THB,THAI1000
data\THB\THAI20\THAI20_129.jpg,THB,THAI20
data\THB\THAI20\THAI20_91.jpg,THB,THAI20
data\THB\THAI50\THAI50_64.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_101.jpg,THB,THAI1000
data\THB\THAI50\THAI50_23.jpg,THB,THAI50
data\THB\THAI20\THAI20_56.jpg,THB,THAI20
data\THB\THAI100\THAI100_137.jpg,THB,THAI100
data\THB\THAI500\THAI500_130.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_53.jpg,THB,THAI1000
data\THB\THAI100\THAI100_154.jpg,THB,THAI100
data\THB\THAI100\THAI100_5.jpg,THB,THAI100
data\THB\THAI500\THAI500_57.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_20.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_111.jpg,THB,THAI1000
data\THB\THAI100\THAI100_113.jpg,THB,THAI100
data\THB\THAI20\THAI20_25.jpg,THB,THAI20
data\THB\THAI500\THAI500_137.jpg,THB,THAI500
data\THB\THAI20\THAI20_44.jpg,THB,THAI20
data\THB\THAI20\THAI20_11.jpg,THB,THAI20
data\THB\THAI50\THAI50_68.jpg,THB,THAI50
data\THB\THAI20\THAI20_72.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_93.jpg,THB,THAI1000
data\THB\THAI500\THAI500_42.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_102.jpg,THB,THAI1000
data\THB\THAI500\THAI500_41.jpg,THB,THAI500
data\THB\THAI50\THAI50_126.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_86.jpg,THB,THAI1000
data\THB\THAI50\THAI50_115.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_33.jpg,THB,THAI1000
data\THB\THAI100\THAI100_77.jpg,THB,THAI100
data\THB\THAI100\THAI100_61.jpg,THB,THAI100
data\THB\THAI500\THAI500_118.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_107.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_117.jpg,THB,THAI1000
data\THB\THAI20\THAI20_106.jpg,THB,THAI20
data\THB\THAI500\THAI500_111.jpg,THB,THAI500
data\THB\THAI100\THAI100_32.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_17.jpg,THB,THAI1000
data\THB\THAI20\THAI20_104.jpg,THB,THAI20
data\THB\THAI500\THAI500_50.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_95.jpg,THB,THAI1000
data\THB\THAI50\THAI50_90.jpg,THB,THAI50
data\THB\THAI100\THAI100_66.jpg,THB,THAI100
data\THB\THAI500\THAI500_132.jpg,THB,THAI500
data\THB\THAI100\THAI100_36.jpg,THB,THAI100
data\THB\THAI100\THAI100_78.jpg,THB,THAI100
data\THB\THAI20\THAI20_135.jpg,THB,THAI20
data\THB\THAI50\THAI50_78.jpg,THB,THAI50
data\THB\THAI20\THAI20_100.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_88.jpg,THB,THAI1000
data\THB\THAI20\THAI20_111.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_150.jpg,THB,THAI1000
data\THB\THAI500\THAI500_11.jpg,THB,THAI500
data\THB\THAI500\THAI500_34.jpg,THB,THAI500
data\THB\THAI20\THAI20_116.jpg,THB,THAI20
data\THB\THAI20\THAI20_8.jpg,THB,THAI20
data\THB\THAI500\THAI500_117.jpg,THB,THAI500
data\THB\THAI100\THAI100_149.jpg,THB,THAI100
data\THB\THAI100\THAI100_18.jpg,THB,THAI100
data\THB\THAI100\THAI100_1.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_130.jpg,THB,THAI1000
data\THB\THAI20\THAI20_151.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_36.jpg,THB,THAI1000
data\THB\THAI50\THAI50_47.jpg,THB,THAI50
data\THB\THAI20\THAI20_102.jpg,THB,THAI20
data\THB\THAI50\THAI50_61.jpg,THB,THAI50
data\THB\THAI20\THAI20_156.jpg,THB,THAI20
data\THB\THAI500\THAI500_154.jpg,THB,THAI500
data\THB\THAI20\THAI20_112.jpg,THB,THAI20
data\THB\THAI50\THAI50_156.jpg,THB,THAI50
data\THB\THAI50\THAI50_82.jpg,THB,THAI50
data\THB\THAI20\THAI20_149.jpg,THB,THAI20
data\THB\THAI20\THAI20_130.jpg,THB,THAI20
data\THB\THAI20\THAI20_96.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_39.jpg,THB,THAI1000
data\THB\THAI100\THAI100_125.jpg,THB,THAI100
data\THB\THAI100\THAI100_103.jpg,THB,THAI100
data\THB\THAI50\THAI50_54.jpg,THB,THAI50
data\THB\THAI100\THAI100_8.jpg,THB,THAI100
data\THB\THAI100\THAI100_134.jpg,THB,THAI100
data\THB\THAI20\THAI20_68.jpg,THB,THAI20
data\THB\THAI50\THAI50_69.jpg,THB,THAI50
data\THB\THAI50\THAI50_125.jpg,THB,THAI50
data\THB\THAI20\THAI20_62.jpg,THB,THAI20
data\THB\THAI500\THAI500_61.jpg,THB,THAI500
data\THB\THAI100\THAI100_59.jpg,THB,THAI100
data\THB\THAI500\THAI500_62.jpg,THB,THAI500
data\THB\THAI500\THAI500_93.jpg,THB,THAI500
